match_id,inning,over,ball,batsman,bowler,batsman_runs,extra_runs,total_runs
1,1,1,1,Player_32,Player_50,1,0,1
1,1,1,2,Player_16,Player_73,4,0,4
1,1,1,3,Player_28,Player_81,4,0,4
1,1,1,4,Player_35,Player_82,1,0,1
1,1,1,5,Player_37,Player_61,0,1,1
1,1,1,6,Player_10,Player_92,0,0,0
1,1,2,1,Player_31,Player_95,0,0,0
1,1,2,2,Player_35,Player_72,0,0,0
1,1,2,3,Player_26,Player_59,0,0,0
1,1,2,4,Player_41,Player_56,0,0,0
1,1,2,5,Player_45,Player_60,4,0,4
1,1,2,6,Player_21,Player_85,0,0,0
1,1,3,1,Player_35,Player_98,2,0,2
1,1,3,2,Player_49,Player_88,1,0,1
1,1,3,3,Player_32,Player_86,0,0,0
1,1,3,4,Player_23,Player_74,0,0,0
1,1,3,5,Player_49,Player_69,3,0,3
1,1,3,6,Player_19,Player_98,0,1,1
1,1,4,1,Player_19,Player_61,0,1,1
1,1,4,2,Player_31,Player_68,1,0,1
1,1,4,3,Player_5,Player_84,1,0,1
1,1,4,4,Player_21,Player_85,4,0,4
1,1,4,5,Player_39,Player_94,4,1,5
1,1,4,6,Player_14,Player_80,0,0,0
1,1,5,1,Player_29,Player_92,2,1,3
1,1,5,2,Player_9,Player_59,3,0,3
1,1,5,3,Player_38,Player_56,1,0,1
1,1,5,4,Player_9,Player_99,4,0,4
1,1,5,5,Player_29,Player_86,0,0,0
1,1,5,6,Player_45,Player_50,4,0,4
1,1,6,1,Player_7,Player_74,1,0,1
1,1,6,2,Player_31,Player_68,2,0,2
1,1,6,3,Player_27,Player_59,4,0,4
1,1,6,4,Player_3,Player_94,0,0,0
1,1,6,5,Player_20,Player_77,2,0,2
1,1,6,6,Player_39,Player_50,1,0,1
1,1,7,1,Player_49,Player_74,4,0,4
1,1,7,2,Player_6,Player_93,6,0,6
1,1,7,3,Player_47,Player_70,0,0,0
1,1,7,4,Player_37,Player_85,1,1,2
1,1,7,5,Player_18,Player_96,1,0,1
1,1,7,6,Player_31,Player_50,1,0,1
1,1,8,1,Player_16,Player_72,0,0,0
1,1,8,2,Player_32,Player_65,4,0,4
1,1,8,3,Player_28,Player_57,0,0,0
1,1,8,4,Player_8,Player_99,0,0,0
1,1,8,5,Player_36,Player_76,1,0,1
1,1,8,6,Player_33,Player_69,1,0,1
1,1,9,1,Player_13,Player_95,0,0,0
1,1,9,2,Player_5,Player_96,4,0,4
1,1,9,3,Player_30,Player_99,1,0,1
1,1,9,4,Player_33,Player_50,1,1,2
